Lista de precios,,
ARTICULO,DESCRIPCION,PRECIO 1
ADC-5/8,"Adaptador para discos tipo 1, rosca, 5/8-11 NC, de 7-9' std",116.379313693602
ADT27-5.8,"Adaptador para discos tipo 27, rosca 5/8-11 NC, de 7-9'",163.793108161366
ADT27-M14,"Adaptador para discos tipo 27, rosca milimétrica M14-2.0 mm",163.793108161366
A-5256,Adaptador para matraca de cuadro 1/4' a cuadro 3/8',43.103449516149
ADPO-1H,"Adaptador para poliducto, 1', hembra",77.5862091290682
CV-605,"Adaptador PP-R 1-1/2"" hembra con inserto metálico",280.172421854969
CV-615,"Adaptador PP-R 1-1/2"" macho con inserto metálico",278.448283874323
CV-606,"Adaptador ppr 2"" hembra c/inserto metálico",356.034493003391
CV-604,"Adaptador PP-R hembra 1 1/4""",218.103445931024
CV-603,"Adaptador PP-R hembra 1""",137.931038451677
CV-601,"Adaptador PP-R hembra 1/2""",27.5862076903354
CV-602,"Adaptador PP-R hembra 3/4""",47.4137944677639
CV-614,"Adaptador PP-R macho 1 1/4""",258.620688476204
CV-613,"Adaptador PP-R macho 1""",129.310348548447
CV-611,"Adaptador PP-R macho 1/2""",43.103449516149
CV-612,"Adaptador PP-R macho 3/4""",56.0344843709937
CPL303,"Adaptador r/ext. sanitario 1 1/2""",25.8620697096894
ADS2,"Adaptador r/ext. sanitario c/espiga 2""",25.8620697096894
ADS4,"Adaptador r/ext. sanitario c/espiga 4""",86.206899032298
CPL301,"Adaptador r/int. sanitario 1 1/2""",25.8620697096894
CPL302,"Adaptador r/int. sanitario 2""",25.8620697096894
ASM112X1,"Adaptador sanitario 1 1/2 r/ext 1""",21.5517247580745
ASM2X1,"Adaptador sanitario 2 r/ext 1""",25.8620697096894
ADAP-PLUS,"Adaptador SDS Plus p/broquero de 1/2""",64.6551742742235
4227,"Adaptador telefónico 2 l.(jack) a 1 jack, 4 contac",6.89655192258384
4228,"Adaptador telefónico 2 líneas(jack) a 1 jack, 4 contac, bli",8.62068965517241
4226,"Adaptador telefónico 2 líneas(jack) a 1 plug,  4 contac, bl",8.62068965517241
4225,"Adaptador telefónico 2 líneas(jack) a 1 plug,  4 contac, gr",5.17241379310345
4223,"Adaptador telefónico 3 l.(jack) a 1 plug,  4 contac",12.9310348548447
4224,"Adaptador telefónico 3 líneas(jack) a 1 plug,  4 contac, bl",12.0689655172414
CLICK-AU,"Adaptador unión 3/4"" rápido de ABS, sistema click",21.5517247580745
ADAP-Y2,"Adaptador 'Y', 2 jacks a 1 plug",5.17241379310345
CPRI665,"Adaptador ZINC p/mang. 1/2', HEMBRA",12.9310348548447
CPRE664,"Adaptador ZINC p/mang. 1/2', macho",14.6551728354907
F2420,Adaptador/regadera p/fregadero (colores),21.5517247580745
687261,Adesivo de poliuretano (Sikaflex) parabrisas 300 ml,245.689653621359
PA86G,Adesivo no mas clavo 86g pens,64.6551742742235
DE0528,Adhesivo 5 min. trans. en dev-tube 25 ml. (plastiacero),120.689658645217
ADM-140,"Adhesivo de montaje Adiós clavos, 140 g, Truper",64.6551742742235
893.090.002,Adhesivo super instantaneo 2g,27.5862076903354
893.551.250,Aditivo de inyectores plus 250,61.2068983129316
AFI-CU,Afilador de cuchillo,99.1379338871427
AFI-CUX,"Afilador de cuchillos, truper",198.275876394975
AFB-20A,Afilador eléctrico de brocas,597.413810293825
5100054,Afix fija todo tubito 70 gms,34.4827596129192
5986.113.300,Aflojatodo rost off 300 ml. WURTH,120.689658645217
WD40-11,Aflojatodo WD-40 11oz.,168.103461733671
WD40-13.2,Aflojatodo WD-40 13.20oz/390ml Turbo tapa,198.275867774285
WD40-3.785L,Aflojatodo wd-40 3.785 lts.,991.379321630047
WD40-3,Aflojatodo WD-40 3oz.,103.448278838758
WD40-5.5,Aflojatodo WD-40 5.5oz.,107.758623790373
